        name    code
0      CJ오쇼핑  035760
1      CMG제약  058820
2  IBKS제8호스팩  277410
3        KTH  036030
4  SBI인베스트먼트  019550
티에스인베스트먼트 -317990 22421004
파마리서치프로덕트 -9726 9466217
파수닷컴 2061 9212237
포스코켐텍 1155328 59070000
퓨쳐스트림네트웍스 3 86921313
플랜티넷 -5037 8960000
피앤씨테크 45895 6496600
피제이메탈 -2022 24803369
하나머티리얼즈 114544 9605737
하이셈 240120 17553680
한국경제TV 71359 23000000
한국캐피탈 861 168209576
한스바이오메드 85826 9857857
한일네트웍스 12602 11954227
한일진공 2 54977886
한창산업 200 5200000
해성산업 -7 9780000
행남사 58 11386305
현성바이탈 1 31650123
형지I&C 497 38955668
화일약품 -500 14410958
CJ프레시웨이 -60356 11871586
EG 0 7500000
GH신소재 0 11000000
KNN 14139 132429720
NEW 198596 27406106
NICE평가정보 189120 60714820
S&K폴리텍 33327 11703721
SBS콘텐츠허브 -32584 21463555
SFA반도체 -3807678 141121631
SK바이오랜드 -133337 15000000
가비아 -3944 13535684
가온미디어 -498103 14395881
고려제약 0 11000000
골드퍼시픽 0 8685177
골프존 -19355 6275415
그랜드백화점 -14113 4820000
나노신소재 -140930 10848333
나라엠앤디 19199 14200000
나스미디어 -17525 8754691
네오디안테크놀로지 -52 35433958
네이처셀 -442131 53056399
넷게임즈 -628517 23937655
녹십자셀 -64285 11695939
농우바이오 25647 16030561
다나와 298861 13074822
대륙제관 19584 15903199
대봉엘에스 -1828 11086579
덕산하이메탈 71001 22718501
덕신하우징 -10823 40060000
덱스터 -85505 22902020
동신건설 -2291 8400000
동화기업 -13920 14356756
드림시큐리티 1 35805754
디에스티 88 9799973
디에이치피코리아 -79944 16564797
디젠스 -165319 22628051
디지탈옵틱 -841930 39244085
디티앤씨 74045 9854054
랩지노믹스 -44396 9039414
리드 46175 69215501
마제스타 0 45529070
매일유업 149003 7843638
매커스 41255 16163092
모다이노칩 -39612 39860811
바른손 18 13903900
바이오빌 -3495 33330498
바이오스마트 -15476 19173735
바이온 1 44119874
버추얼텍 611505 28933505
블루콤 -5074 18088047
비씨월드제약 41115 8008318
사람인에이치알 -229743 11634263
삼보판지 -57635 14700000
삼영이엔씨 -57172 8800000
삼원테크 148 48828576
삼일 0 16213590
삼진 -14559 6000000
삼현철강 -31444 15702890
상신이디피 212182 11295050
서암기계공업 6072 12600000
서울옥션 -354383 16917500
세미콘라이트 228954 62050302
세보엠이씨 36726 10530000
세코닉스 -37984 11248911
손오공 52 21896161
솔고바이오 125840 119725785
쌍용정보통신 2772 40464034
쎄니트 -310672 33832921
씨엠에스에듀 -113271 18634768
아가방컴퍼니 -8920 32887536
아바텍 -12500 15607500
아이센스 -158475 13737238
아트라스BX 6277 9150000
알리코제약 -27219 9595575
에스마크 -98741 133654026
에스맥 7 213245967
에스아이리소스 -79834 52830995
에스에너지 -180731 13277867
에스에이티 -116210 25212157
에스에프에이 344215 35908760
에스엔유 3745 31250000
에스코넥 14681 65265724
에스피지 59910 20876975
에쎈테크 252 72000000
에이스침대 -187 2218000
에이치엘비생명과학 -9654 26676909
